SKU,DESCRIÇÃO,FILA,TORRE,NÍVEL,ENDEREÇO,QTD
TGSA55444000,SSG GALAXY S936B 256GB PR PPB/P291/14,A,4,2.0,A-4-2,27
TGSA554B4000,SSG GALAXY S936B 256GB AZM PPB/P291/14,A,4,2.0,A-4-2,28
TGSA55614000,SSG GALAXY S938B 256GB TN AZ PPB/P291/14,A,4,2.0,A-4-2,29
TGSA55642000,SSG GALAXY S938B 256GB TN PR PPB/P291/12,A,4,2.0,A-4-2,30
TGSA556C4000,SSG GALAXY S938B 256GB TN CZ PPB/P291/14,A,4,3.0,A-4-3,31
TGSA55662000,SSG GALAXY S938B 256GB TN PT PPB/P291/12,A,4,3.0,A-4-3,32
TGSA556C2000,SSG GALAXY S938B 256GB TN CZ PPB/P291/12,A,4,3.0,A-4-3,33
TGSA55664000,SSG GALAXY S938B 256GB TN PT PPB/P291/14,A,4,4.0,A-4-4,34
TGSA56064000,SSG GALAXY A066M 128GB PT PPB/P291/14,A,4,4.0,A-4-4,35
TGSA56164000,SSG GALAXY A266M 256GB PT PPB/P291/14,A,4,4.0,A-4-4,36
TGSA56162000,SSG ,A,4,5.0,A-4-5,37
TGSA515R4000,SSG GALAXY S926B 5G 512GB VT PPB/P291/14,A,5,1.0,A-5-1,38
TGSA51762000,SSG GALAXY S928B 5G 512GB PT PPB/P291/12,A,5,1.0,A-5-1,39
TGSA51764000,SSG GALAXY S928B 5G 512GB PT PPB/P291/14,A,5,1.0,A-5-1,40
TGSA52012000,SSG GALAXY A156M 5G 128GB AZ PPB/291/12,A,5,1.0,A-5-1,41
TGSA52014000,SSG GALAXY A156M 5G 128GB AZ PPB/291/14,A,5,1.0,A-5-1,42
TGSA522B2000,SSG GALAXY A156MEE 128GB AZM PPB/P291/12,A,5,2.0,A-5-2,43
TGSA526B4000,SSG GALAXY A356E 256GB AZM PPB/P291/14,A,5,2.0,A-5-2,44
TGSA530B4000,SSG GALAXY A556EE 256GB AZM PPB/P291/14,A,5,2.0,A-5-2,45
TGSA536C2000,SSG GALAXY F956B 512GB CZ PPB/P291/12,A,5,2.0,A-5-2,46
TGSA53712000,SSG GALAXY F741B 256GB AZ PPB/P291/12,A,5,3.0,A-5-3,47
TGSA53812000,SSG GALAXY F741B 512GB AZ PPB/P291/12,A,5,3.0,A-5-3,48
TGSA538C2000,SSG GALAXY F741B 512GB CZ PPB/P291/12,A,5,3.0,A-5-3,49
TGSA543C4000,SSG GALAXY S721B 256GB CZ PPB/P291/14,A,5,3.0,A-5-3,50
TGSA546B4000,SSG GALAXY A166M 128GB AZM PPB/P291/14,A,5,4.0,A-5-4,51
TGSA548B4000,SSG GALAXY A166MEE 128GB AZM PPB/P291/14,A,5,4.0,A-5-4,52
TGSA548B4000,SSG GALAXY A166MEE 128GB AZM PPB/P291/14,A,5,5.0,A-5-5,53
TGSA546C4000,SSG GALAXY A166M 128GB CZ PPB/P291/14,A,5,5.0,A-5-5,54
TGSA500G2000,SSG GALAXY S711B 256GB VD PPB/PI291/12,A,6,1.0,A-6-1,55
TGSA500G4000,SSG GALAXY S711B 256GB VD PPB/PI291/14,A,6,1.0,A-6-1,56
TGSA50844000,SSG GALAXY A055M 128GB PR PPB/PI291/14,A,6,1.0,A-6-1,57
TGSA50864000,SSG GALAXY A055M 128GB PT PPB/PI291/14,A,6,1.0,A-6-1,58
TGSA508G4000,SSG GALAXY A055M 128GB VD PPB/PI291/14,A,6,1.0,A-6-1,59
TGSA509B4000,SSG GALAXY A256E 5G 256G AZM PPB/P291/14,A,6,2.0,A-6-2,60
TGSA51064000,SSG GALAXY A057M 128GB PT PPB/PI291/14,A,6,2.0,A-6-2,61
TGSA51162000,SSG GALAXY S921B 5G 128GB PT PPB/P291/12,A,6,2.0,A-6-2,62
TGSA51164000,SSG GALAXY S921B 5G 128GB PT PPB/P291/14,A,6,2.0,A-6-2,63
TGSA511A2000,SSG GALAXY S921B 5G 128GB BG PPB/P291/12,A,6,2.0,A-6-2,64
TGSA511A4000,SSG GALAXY S921B 5G 128GB BG PPB/P291/14,A,6,3.0,A-6-3,65
TGSA511C4000,SSG GALAXY S921B 5G 128GB CZ PPB/P291/14,A,6,3.0,A-6-3,66
TGSA511R4000,SSG GALAXY S921B 5G 128GB VT PPB/P291/14,A,6,3.0,A-6-3,67
TGSA51264000,SSG GALAXY S921B 5G 256GB PT PPB/P291/14,A,6,3.0,A-6-3,68
TGSA512A4000,SSG GALAXY S921B 5G 256GB BG PPB/P291/14,A,6,3.0,A-6-3,69
TGSA512C4000,SSG GALAXY S921B 5G 256GB CZ PPB/P291/14,A,6,3.0,A-6-3,70
TGSA51464000,SSG GALAXY S926B 5G 256GB PT PPB/P291/14,A,6,4.0,A-6-4,71
TGSA514R4000,SSG GALAXY S926B 5G 256GB VT PPB/P291/14,A,6,4.0,A-6-4,72
TGSA51562000,SSG GALAXY S926B 5G 512GB PT PPB/P291/12,A,6,4.0,A-6-4,73
TGSA51564000,SSG GALAXY S926B 5G 512GB PT PPB/P291/14,A,6,4.0,A-6-4,74
TGSA515C4000,SSG GALAXY S926B 5G 512GB CZ PPB/P291/14,A,6,4.0,A-6-4,75
TGSA52014000,SSG GALAXY A156M 5G 128GB AZ PPB/291/14,A,6,5.0,A-6-5,76
TGSA521B4000,SSG GALAXY A156M 5G 256GB AZM PPB/291/14,A,6,5.0,A-6-5,77
TGSA522B2000,SSG GALAXY A156MEE 128GB AZM PPB/P291/12,A,6,5.0,A-6-5,78
TGSA526B4000,SSG GALAXY A356E 256GB AZM PPB/P291/14,A,6,5.0,A-6-5,79
TGSA5306B400,SSG ,A,6,5.0,A-6-5,80
TGSA396B2000,SAMSUNG G780G 128G SMART AM PPB/PI432/11,A,7,1.0,A-7-1,81
TGSA43224000,SSG GALAXY S906E 128GB BR PPB/PI291/14,A,7,1.0,A-7-1,82
TGSA43264000,SSG GALAXY S906E 128GB PT PPB/PI291/14,A,7,1.0,A-7-1,83
TGSA43514000,SAMSUNG GALAXY A536E AZ PPB/PI291/14,A,7,1.0,A-7-1,84
TGSA43524000,SAMSUNG GALAXY A536E BR PPB/PI291/14,A,7,1.0,A-7-1,85
TGSA43564000,SAMSUNG GALAXY A536E PT PPB/PI291/14,A,7,2.0,A-7-2,86
TGSA43864000,SAMSUNG GALAXY A135M PT PPB/PI291/14,A,7,2.0,A-7-2,87
TGSA45392000,SSG F721B SMART 128GB RO PPB/PI291/12,A,7,2.0,A-7-2,88
TGSA453R2000,SSG F721B SMART 128GB VT PPB/PI291/12,A,7,2.0,A-7-2,89
TGSA46014000,SSG A236M SMART 128GB AZ PPB/PI291/14,A,7,2.0,A-7-2,90
TGSA46064000,SSG A236M SMART 128GB PT PPB/PI291/14,A,7,3.0,A-7-3,91
TGSA46164000,SSG A042M SMART 64GB PT PPB/PI291/14,A,7,3.0,A-7-3,92
TGSA463G4000,SSG GALAXY S911B 128GB VD PPB/PI291/14,A,7,3.0,A-7-3,93
TGSA46664000,SSG GALAXY S918B 256GB PT PPB/PI291/14,A,7,3.0,A-7-3,94
TGSA467A4000,SSG GALAXY S918B 512GB BG PPB/PI291/14,A,7,3.0,A-7-3,95
TGSA47564000,SSG GALAXY A546E 256GB PT PPB/PI291/14,A,7,4.0,A-7-4,96
TGSA47664000,SSG GALAXY A346M 256GB PT PPB/PI291/14,A,7,4.0,A-7-4,97
TGSA48962000,SSG GALAXY F946B 512GB PT PPB/PI291/12,A,7,4.0,A-7-4,98
TGSA49152000,SSG GALAXY F731B 512GB GF PPB/PI291/12,A,7,4.0,A-7-4,99
TGSA500A2000,SSG GALAXY S711B 256GB BG PPB/PI291/12,A,7,4.0,A-7-4,100
VAZIO,VAZIO,A,7,5.0,A-7-5,101
VAZIO,VAZIO,A,7,5.0,A-7-5,102
DGAP23483000,APPLE IPHONE 16 PRO 512GB BZ,B,1,1.0,B-1-1,103
DGAP23563000,APPLE IPHONE 16 PRO 1TB PT,B,1,1.0,B-1-1,104
DGAP23663000,APPLE IPHONE 16 PRO MAX 256GB PT,B,1,1.0,B-1-1,105
DGAP23673000,APPLE IPHONE 16 PRO MAX 256GB TN,B,1,1.0,B-1-1,106
DGAP25683000,APPLE ,B,1,2.0,B-1-2,107
DGAP23686000,APPLE IPHONE 16 PRO MAX 256GB BZ DEMO,B,1,2.0,B-1-2,108
DGAP23783000,APPLE IPHONE 16 PRO MAX 512GB BZ,B,1,3.0,B-1-3,109
DGAP23763000,APPLE IPHONE 16 PRO MAX 512GB PT,B,1,3.0,B-1-3,110
DGAP23863000,APPLE IPHONE 16 PRO MAX 1TB PT,B,1,3.0,B-1-3,111
DGAP23916000,APPLE IPHONE 16 128GB AZ DEMO,B,1,3.0,B-1-3,112
DGAP23883000,APPLE IPHONE 16 PRO MAX 1TB BZ,B,1,3.0,B-1-3,113
DGAP25022000,APPLE IPHONE 16E 256GB N BR,B,1,4.0,B-1-4,114
DGAP25062000,APPLE IPHONE 16E 256GB N PT,B,1,4.0,B-1-4,115
VAZIO,VAZIO,B,1,5.0,B-1-5,116
DGAP21423000,APPLE IPHONE 15 PRO MAX 1TB BR,B,2,1.0,B-2-1,117
DGAP21463000,APPLE IPHONE 15 PRO MAX 1TB PT,B,2,1.0,B-2-1,118
DGAP21473000,APPLE IPHONE 15 PRO MAX 1TB TN,B,2,1.0,B-2-1,119
DGAP22722000,APPLE IPHONE 16 256GB N BR,B,2,2.0,B-2-2,120
DGAP22762000,APPLE IPHONE 16 256GB N PT,B,2,2.0,B-2-2,121
DGAP22822000,APPLE IPHONE 16 512GB N BR,B,2,2.0,B-2-2,122
VAZIO,VAZIO,B,2,2.0,B-2-2,123
DGAP22913000,APPLE IPHONE 16 PLUS 128GB AZ,B,2,3.0,B-2-3,124
DGAP23013000,APPLE ,B,2,3.0,B-2-3,125
DGAP23023000,APPLE ,B,2,3.0,B-2-3,126
DGAP23063000,APPLE IPHONE 16 PLUS 256GB PT,B,2,3.0,B-2-3,127
DGAP23273000,APPLE IPHONE 16 PRO 128GB TN,B,2,3.0,B-2-3,128
VAZIO,VAZIO,B,2,3.0,B-2-3,129
DGAP23263000,APPLE IPHONE 16 PRO 128GB PT,B,2,3.0,B-2-3,130
DGAP23283000,APPLE IPHONE 16 PRO 128GB BZ,B,2,4.0,B-2-4,131
DGAP23363000,APPLE IPHONE 16 PRO 256GB PT,B,2,4.0,B-2-4,132
DGAP23373000,APPLE IPHONE 16 PRO 256GB TN,B,2,4.0,B-2-4,133
DGAP23376000,APPLE IPHONE 16 PRO 256GB TN DEMO,B,2,4.0,B-2-4,134
DGAP23383000,APPLE IPHONE 16 PRO 256GB BZ,B,2,4.0,B-2-4,135
DGAP23463000,APPLE IPHONE 16 PRO 512GB PT,B,2,4.0,B-2-4,136
VAZIO,VAZIO,B,2,4.0,B-2-4,137
VAZIO,VAZIO,B,2,5.0,B-2-5,138
DGAP17962000,APPLE IPHONE 14 PLUS 256GB N PT,B,3,1.0,B-3-1,139
DGAP18163000,APPLE IPHONE 14 PRO 128GB PT,B,3,1.0,B-3-1,140
DGAP183R3000,APPLE IPHONE 14 PRO 512GB RX,B,3,1.0,B-3-1,141
DGAP18863000,APPLE IPHONE 14 PRO MAX 1TB PT,B,3,1.0,B-3-1,142
DGAP18363000,APPLE IPHONE 14 PRO 512GB PT,B,3,1.0,B-3-1,143
DGAP20312000,APPLE IPHONE 15 256GB N AZ,B,3,2.0,B-3-2,144
DGAP20362000,APPLE IPHONE 15 256GB N PT,B,3,2.0,B-3-2,145
DGAP20462000,APPLE IPHONE 15 512GB N PT,B,3,3.0,B-3-3,146
DGAP204G3000,APPLE IPHONE 15 512GB VD,B,3,3.0,B-3-3,147
DGAP204P3000,APPLE IPHONE 15 512GB RS,B,3,3.0,B-3-3,148
DGAP204Y3000,APPLE IPHONE 15 512GB AM,B,3,3.0,B-3-3,149
DGAP20563000,APPLE IPHONE 15 PLUS 128GB PT,B,3,3.0,B-3-3,150
DGAP20663000,APPLE IPHONE 15 PLUS 256GB PT,B,3,4.0,B-3-4,151
DGAP21023000,APPLE IPHONE 15 PRO 512GB BR,B,3,4.0,B-3-4,152
DGAP21063000,APPLE ,B,3,4.0,B-3-4,153
DGAP21263000,APPLE IPHONE 15 PRO MAX 256GB PT,B,3,4.0,B-3-4,154
DGAP21313000,APPLE IPHONE 15 PRO MAX 512GB AZ,B,3,4.0,B-3-4,155
DGAP21363000,APPLE IPHONE 15 PRO MAX 512GB PT,B,3,4.0,B-3-4,156
VAZIO,VAZIO,B,3,5.0,B-3-5,157
DGAP12262000,APPLE IPHONE 12 128GB NAC PT,B,4,1.0,B-4-1,158
DGAP12662000,APPLE IPHONE 12 256GB NAC PT,B,4,1.0,B-4-1,159
DGAP13962000,APPLE IPHONE SE 64GB PT NAC,B,4,1.0,B-4-1,160
DGAP14862000,APPLE IPHONE 13 256GB PT N,B,4,1.0,B-4-1,161
DGAP14913000,APPLE IPHONE 13 512GB AZ,B,4,1.0,B-4-1,162
DGAP14922000,APPLE IPHONE 13 512GB BR N,B,4,1.0,B-4-1,163
DGAP14923000,APPLE IPHONE 13 512GB BR,B,4,2.0,B-4-2,164
DGAP14962000,APPLE IPHONE 13 512GB PT N,B,4,2.0,B-4-2,165
DGAP14963000,APPLE IPHONE 13 512GB PT,B,4,2.0,B-4-2,166
DGAP17612000,APPLE IPHONE 14 256GB N AZ,B,4,2.0,B-4-2,167
DGAP17622000,APPLE IPHONE 14 256GB N BR,B,4,3.0,B-4-3,168
DGAP17662000,APPLE IPHONE 14 256GB N PT,B,4,3.0,B-4-3,169
DGAP17703000,APPLE IPHONE 14 512GB VM,B,4,4.0,B-4-4,170
DGAP17713000,APPLE IPHONE 14 512GB AZ,B,4,4.0,B-4-4,171
DGAP177R3000,APPLE IPHONE 14 512GB RX,B,4,4.0,B-4-4,172
DGAP17863000,APPLE IPHONE 14 PLUS 128GB PT,B,4,4.0,B-4-4,173
DGAP17903000,APPLE IPHONE 14 PLUS 256GB VM,B,4,4.0,B-4-4,174
DGAP17913000,APPLE IPHONE 14 PLUS 256GB AZ,B,4,4.0,B-4-4,175
VAZIO,VAZIO,B,4,5.0,B-4-5,176
TGMO492G2000,MOTOROLA XT2551-6 SMARTPHONE 1TB VD,B,5,1.0,B-5-1,177
VAZIO,VAZIO,B,5,2.0,B-5-2,178
VAZIO,VAZIO,B,5,3.0,B-5-3,179
VAZIO,VAZIO,B,5,4.0,B-5-4,180
VAZIO,VAZIO,B,5,5.0,B-5-5,181
VAZIO,VAZIO,B,5,6.0,B-5-6,182
TGMO47952000,MOTOROLA XT2433-1 SMARTPHONE 128GB GF,B,6,0.0,B-6-0,183
TGMO55602000,MOTOROLA XT2527-1 SMARTPHONE 256GB VM,B,6,1.0,B-6-1,184
TGMO55652000,MOTOROLA XT2527-1 SMARTPHONE 256GB GF,B,6,1.0,B-6-1,185
TGMO501G2000,MOTOROLA XT2529-1 SMARTPHONE 256GB VD,B,6,2.0,B-6-2,186
TGMO501C2000,MOTOROLA XT2529-1 SMARTPHONE 256GB CZ,B,6,2.0,B-6-2,187
TGMO50152000,MOTOROLA XT2529-1 SMARTPHONE 256GB GF,B,6,2.0,B-6-2,188
TGMO491C2000,MOTOROLA XT2503-1 SMARTPHONE 256GB CZ,B,6,3.0,B-6-3,189
TGMO491P2000,MOTOROLA XT2503-1 SMARTPHONE 256GB RS,B,6,3.0,B-6-3,190
TGMO498C2000,MOTOROLA XT2507-1 SMARTPHONE 512GB CZ,B,6,3.0,B-6-3,191
TGMO481C2000,MOTOROLA XT2437-1 SMARTPHONE 256GB CZ,B,6,4.0,B-6-4,192
TGMO48162000,MOTOROLA XT2437-1 SMARTPHONE 256GB PT,B,6,4.0,B-6-4,193
TGMO48262000,MOTOROLA XT2435-1 SMARTPHONE 256GB PT,B,6,4.0,B-6-4,194
TGMO488B2000,MOTOROLA XT2521-2 SMARTPHONE 128GB AZM,B,6,4.0,B-6-4,195
TGMO475C2000,MOTOROLA XT2453-1 SMARTPHONE 512GB CZ,B,6,5.0,B-6-5,196
TGMO475U2000,MOTOROLA XT2453-1 SMARTPHONE 512GB LJ,B,6,5.0,B-6-5,197
TGMO470B2000,MOTOROLA XT2451-3 SMARTPHONE 512GB AZM,B,6,6.0,B-6-6,198
TGMO470G2000,MOTOROLA XT2451-3 SMARTPHONE 512GB VD,B,6,6.0,B-6-6,199
TGMO475A2000,MOTOROLA XT2453-1 SMARTPHONE 512GB BG,B,6,6.0,B-6-6,200
TGMO461U2000,MOTOROLA XT2401-1 SMARTPHONE 512GB PG,B,7,1.0,B-7-1,201
TGMO461M2000,MOTOROLA XT2401-1 SMARTPHONE 512GB MR,B,7,1.0,B-7-1,202
TGMO45752000,MOTOROLA XT2421-1 SMARTPHONE 128GB GF,B,7,2.0,B-7-2,203
TGMO455G2000,MOTOROLA XT2343-1 SMARTPHONE 5G 256GB VD,B,7,2.0,B-7-2,204
TGMO45852000,MOTOROLA XT2423-6 SMARTPHONE 128GB GF,B,7,2.0,B-7-2,205
TGMO460B2000,MOTOROLA XT2429-1 SMARTPHONE 256GB AZM,B,7,2.0,B-7-2,206
TGMO460P2000,MOTOROLA XT2429-1 SMARTPHONE 256GB RS,B,7,2.0,B-7-2,207
TGMO45662000,MOTOROLA XT2363-1 SMARTPHONE 5G 128GB PT,B,7,2.0,B-7-2,208
TGMO45162000,MOTOROLA XT2307-1 SMARTPHONE 256GB PT,B,7,3.0,B-7-3,209
TGMO451G2000,MOTOROLA XT2307-1 SMARTPHONE 256GB VD,B,7,3.0,B-7-3,210
TGMO451U2000,MOTOROLA XT2307-1 SMARTPHONE 256GB LJ,B,7,3.0,B-7-3,211
TGMO45212000,MOTOROLA XT2347-1 SMARTPHONE 256GB AZ,B,7,3.0,B-7-3,212
TGMO45312000,MOTOROLA XT2343-1 SMARTPHONE 128GB AZ,B,7,3.0,B-7-3,213
TGMO42362000,MOTOROLA XT2231-1 SMARTPHONE PT,B,7,4.0,B-7-4,214
TGMO43302000,MOTOROLA XT2243-1 SMARTPHONE VM,B,7,4.0,B-7-4,215
TGMO43852000,MOTOROLA XT2335-1 SMARTPHONE GF,B,7,4.0,B-7-4,216
TGMO44152000,MOTOROLA XT2345-1 SMARTPHONE 64GB GF,B,7,4.0,B-7-4,217
TGMO447U2000,MOTOROLA XT2321-1 SMARTPHONE 256GB LJ,B,7,4.0,B-7-4,218
TGMO43222000,MOTOROLA XT2241-2 SMARTPHONE BR,B,7,5.0,B-7-5,219
TGMO411G2000,MOTOROLA XT2139-2 SMARTPHONE VD,B,7,5.0,B-7-5,220
TGMO416C2000,MOTOROLA XT2155-1 SMARTPHONE CZ,B,7,5.0,B-7-5,221
TGMO41812000,MOTOROLA XT2173-1 SMARTPHONE AZ,B,7,5.0,B-7-5,222
TGMO42212000,MOTOROLA XT2201-1 SMARTPHONE AZ,B,7,5.0,B-7-5,223
TGMO42362000,MOTOROLA XT2231-1 SMARTPHONE PT,B,7,5.0,B-7-5,224
22022752,OVVI CM CP IPHONE 15 TECIDO MAGSAFE PT,C,1,2.0,C-1-2,225
22022858,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE PT,C,1,5.0,C-1-5,226
22022626,OVVI CM CP IPHONE 13 MAGSAFE TPT,C,2,3.0,C-2-3,227
22022713,OVVI CM CP IPHONE 15 SILIC MGSAFE VM,C,2,4.0,C-2-4,228
22023192,OVVI CM CP IPHONE 16PRO SILIC MGSAFE PT,C,3,2.0,C-3-2,229
22021298,OVVI CM CP SILICONE IPHONE 14 PRO PT,C,3,4.0,C-3-4,230
22022746,OVVI CM CP IPHONE 15 HOLO MAGSAFE,C,1,1.0,C-1-1,231
22022747,OVVI CM CP IPHONE 13 SILIC MAGSAFE PT,C,1,1.0,C-1-1,232
22022748,OVVI CM CP IPHONE 15 SILIC MAGSAFE PT,C,1,1.0,C-1-1,233
22022749,OVVI CM CP GALAXY S24+ SILIC PT,C,1,1.0,C-1-1,234
22022750,OVVI CM CP GALAXY S24 SILIC PT,C,1,2.0,C-1-2,235
22022753,OVVI CM CP IPHONE 15 CLEAR MAGSAFE TPT,C,1,2.0,C-1-2,236
22022758,OVVI CM CP GALAXY S24 ULTRA SILIC PT,C,1,2.0,C-1-2,237
22022845,OVVI CM CP IPHONE 16 ANTIBAC BR,C,1,3.0,C-1-3,238
22022847,OVVI CM CP IPHONE 16PLUS ANTIBAC BR,C,1,3.0,C-1-3,239
22022848,OVVI CM CP IPHONE 16PLUS CLEAR MGSAFE,C,1,3.0,C-1-3,240
22022849,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE AZ,C,1,3.0,C-1-3,241
22022850,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE CZ,C,1,4.0,C-1-4,242
22022851,OVVI CM CP IPHONE 16PLUS SILIC MGSAFE PT,C,1,4.0,C-1-4,243
22022852,OVVI CM CP IPHONE 16PRO ANTIBAC BR,C,1,4.0,C-1-4,244
22022854,OVVI CM CP IPHONE 16PMAX ANTIBAC BR,C,1,5.0,C-1-5,245
22022856,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE AZ,C,1,5.0,C-1-5,246
22022857,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE CZ,C,1,5.0,C-1-5,247
22022859,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE RS,C,1,6.0,C-1-6,248
22022860,OVVI CM CP IPHONE 16PMAX SILIC MGSAFE VD,C,1,6.0,C-1-6,249
22022861,OVVI CM CP IPHONE 16PMX SILIC MGSAFE VDC,C,1,6.0,C-1-6,250
22022863,OVVI CM CP IPHONE 16PRO SILIC MGSAFE AZ,C,1,6.0,C-1-6,251
22022864,OVVI CM CP IPHONE 16PRO SILIC MGSAFE CZ,C,1,7.0,C-1-7,252
22022865,OVVI CM CP IPHONE 16PRO SILIC MGSAFE PT,C,1,7.0,C-1-7,253
22022866,OVVI CM CP IPHONE 16PRO SILIC MGSAFE RS,C,1,7.0,C-1-7,254
22022867,OVVI CM CP IPHONE 16PRO SILIC MGSAFE VD,C,1,7.0,C-1-7,255
22022277,OVVI CM CP GALAXY S24 SILIC PT,C,2,1.0,C-2-1,256
22022278,OVVI CM CP GALAXY S24 ANTIBAC PT,C,2,1.0,C-2-1,257
22022279,OVVI CM CP GALAXY S24 ANTIBAC BR,C,2,1.0,C-2-1,258
22022280,OVVI CM CP GALAXY S24+ SILIC PT,C,2,2.0,C-2-2,259
22022281,OVVI CM CP GALAXY S24+ ANTIBAC PT,C,2,2.0,C-2-2,260
22022282,OVVI CM CP GALAXY S24+ ANTIBAC BR,C,2,2.0,C-2-2,261
22022283,OVVI CM CP GALAXY S24 ULTRA SILIC PT,C,2,2.0,C-2-2,262
22022284,OVVI CM CP GALAXY S24 ULTRA ANTIBAC PT,C,2,2.0,C-2-2,263
22022305,OVVI CM CP GALAXY S24 ULTRA ANTIBAC BR,C,2,3.0,C-2-3,264
22022545,OVVI CM CP IPHONE 14 MAGSAFE 2.0 TPT,C,2,3.0,C-2-3,265
22022625,OVVI CM CP IPHONE 14 MAGSAFE 2.0 TPT,C,2,3.0,C-2-3,266
22022694,OVVI CM CP GALAXY S24 ANTIBAC BR,C,2,4.0,C-2-4,267
22022710,OVVI CM CP IPHONE 15 SILIC MGSAFE AM,C,2,4.0,C-2-4,268
22022712,OVVI CM CP IPHONE 15 SILIC MGSAFE LL,C,2,4.0,C-2-4,269
22022735,OVVI CM CP IPHONE 14 ANTIBAC BR,C,2,5.0,C-2-5,270
22022736,OVVI CM CP IPHONE 14 ANTIBAC PT,C,2,5.0,C-2-5,271
22022713,OVVI CM CP IPHONE 15 SILIC MGSAFE VM,C,2,5.0,C-2-5,272
22022737,OVVI CM CP IPHONE 15 ANTIBAC BR,C,2,6.0,C-2-6,273
22022738,OVVI CM CP IPHONE 15 ANTIBAC PT,C,2,6.0,C-2-6,274
22022741,OVVI CM CP GALAXY S24 ULTRA ANTIBAC BR,C,2,6.0,C-2-6,275
22022739,APPLE ,C,2,6.0,C-2-6,276
22022742,OVVI CM CP GALAXY S24 ULTRA ANTIBAC PT,C,2,7.0,C-2-7,277
22022743,OVVI CM CP GALAXY S24+ ANTIBAC PT,C,2,7.0,C-2-7,278
22022744,OVVI CM CP GALAXY S24+ ANTIBAC BR,C,2,7.0,C-2-7,279
22021462,OVVI CM CP IPHONE 14 PRO ALÇA PERSO PT,C,3,1.0,C-3-1,280
22021463,OVVI CM CP IPHONE 14 PMAX ALÇA PERSO PT,C,3,1.0,C-3-1,281
22021465,OVVI CM CP IPHONE 12/12P ALÇA PERSO PT,C,3,1.0,C-3-1,282
22021466,OVVI CM CP GALAXY S22 ALÇA PERSO PT,C,3,1.0,C-3-1,283
22022089,OVVI CM CP IPHONE 15 ANTIBAC BR,C,3,2.0,C-3-2,284
22022090,OVVI CM CP IPHONE 15PMAX ANTIBAC PT,C,3,2.0,C-3-2,285
22022091,OVVI CM CP IPHONE 15PMAX ANTIBAC BR,C,3,3.0,C-3-3,286
22022092,OVVI CM CP IPHONE 15PLUS ANTIBAC PT,C,3,3.0,C-3-3,287
22022093,OVVI CM CP IPHONE 15PRO ANTIBAC BR,C,3,4.0,C-3-4,288
22022094,OVVI CM CP IPHONE 15PRO ANTIBAC PT,C,3,4.0,C-3-4,289
22022095,OVVI CM CP IPHONE 15 CLEAR MAGSAFE TPT,C,3,4.0,C-3-4,290
22022097,OVVI CM CP IPHONE 15 HOLO MAGSAFE,C,3,5.0,C-3-5,291
22022098,APPLE ,C,3,5.0,C-3-5,292
22022101,OVVI CM CP IPHONE 15PLUS SILIC MGSAFE AM,C,3,5.0,C-3-5,293
